pokemon_species,ja-Hrkt,roomaji,ko,zh-Hant,fr,de,es,it,en,cs,ja,zh-Hans,pt-BR
lanturn,ランターン,Lantern,랜턴,電燈怪,Lanturn,Lanturn,Lanturn,Lanturn,"Lanturn, lanturn",,ランターン,电灯怪,
pichu,ピチュー,Pichu,피츄,皮丘,Pichu,Pichu,Pichu,Pichu,"Pichu, pichu",,ピチュー,皮丘,
cleffa,ピィ,Py,삐,皮寶寶,Mélo,Pii,Cleffa,Cleffa,"Cleffa, cleffa",,ピィ,皮宝宝,
igglybuff,ププリン,Pupurin,푸푸린,寶寶丁,Toudoudou,Fluffeluff,Igglybuff,Igglybuff,"Igglybuff, igglybuff",,ププリン,宝宝丁,
togepi,トゲピー,Togepy,토게피,波克比,Togepi,Togepi,Togepi,Togepi,"Togepi, togepi",,トゲピー,波克比,
togetic,トゲチック,Togechick,토게틱,波克基古,Togetic,Togetic,Togetic,Togetic,"Togetic, togetic",,トゲチック,波克基古,
natu,ネイティ,Naty,네이티,天然雀,Natu,Natu,Natu,Natu,"Natu, natu",,ネイティ,天然雀,
xatu,ネイティオ,Natio,네이티오,天然鳥,Xatu,Xatu,Xatu,Xatu,"Xatu, xatu",,ネイティオ,天然鸟,
mareep,メリープ,Merriep,메리프,咩利羊,Wattouat,Voltilamm,Mareep,Mareep,"Mareep, mareep",,メリープ,咩利羊,
flaaffy,モココ,Mokoko,보송송,茸茸羊,Lainergie,Waaty,Flaaffy,Flaaffy,"Flaaffy, flaaffy",,モココ,茸茸羊,
ampharos,デンリュウ,Denryu,전룡,電龍,Pharamp,Ampharos,Ampharos,Ampharos,"Ampharos, ampharos, ampharos-mega",,デンリュウ,电龙,
bellossom,キレイハナ,Kireihana,아르코,美麗花,Joliflor,Blubella,Bellossom,Bellossom,"Bellossom, bellossom",,キレイハナ,美丽花,
marill,マリル,Maril,마릴,瑪力露,Marill,Marill,Marill,Marill,"Marill, marill",,マリル,玛力露,
azumarill,マリルリ,Marilli,마릴리,瑪力露麗,Azumarill,Azumarill,Azumarill,Azumarill,"Azumarill, azumarill",,マリルリ,玛力露丽,
sudowoodo,ウソッキー,Usokkie,꼬지모,樹才怪,Simularbre,Mogelbaum,Sudowoodo,Sudowoodo,"Sudowoodo, sudowoodo",,ウソッキー,树才怪,
politoed,ニョロトノ,Nyorotono,왕구리,蚊香蛙皇,Tarpaud,Quaxo,Politoed,Politoed,"Politoed, politoed",,ニョロトノ,蚊香蛙皇,
hoppip,ハネッコ,Hanecco,통통코,毽子草,Granivol,Hoppspross,Hoppip,Hoppip,"Hoppip, hoppip",,ハネッコ,毽子草,
skiploom,ポポッコ,Popocco,두코,毽子花,Floravol,Hubelupf,Skiploom,Skiploom,"Skiploom, skiploom",,ポポッコ,毽子花,
jumpluff,ワタッコ,Watacco,솜솜코,毽子棉,Cotovol,Papungha,Jumpluff,Jumpluff,"Jumpluff, jumpluff",,ワタッコ,毽子棉,
aipom,エイパム,Eipam,에이팜,長尾怪手,Capumain,Griffel,Aipom,Aipom,"Aipom, aipom",,エイパム,长尾怪手,
sunkern,ヒマナッツ,Himanuts,해너츠,向日種子,Tournegrin,Sonnkern,Sunkern,Sunkern,"Sunkern, sunkern",,ヒマナッツ,向日种子,
sunflora,キマワリ,Kimawari,해루미,向日花怪,Héliatronc,Sonnflora,Sunflora,Sunflora,"Sunflora, sunflora",,キマワリ,向日花怪,
yanma,ヤンヤンマ,Yanyanma,왕자리,蜻蜻蜓,Yanma,Yanma,Yanma,Yanma,"Yanma, yanma",,ヤンヤンマ,蜻蜻蜓,
wooper,ウパー,Upah,우파,烏波,Axoloto,Felino,Wooper,Wooper,"Wooper, wooper, wooper-paldea",,ウパー,乌波,
quagsire,ヌオー,Nuoh,누오,沼王,Maraiste,Morlord,Quagsire,Quagsire,"Quagsire, quagsire",,ヌオー,沼王,
espeon,エーフィ,Eifie,에브이,太陽伊布,Mentali,Psiana,Espeon,Espeon,"Espeon, espeon",,エーフィ,太阳伊布,
umbreon,ブラッキー,Blacky,블래키,月亮伊布,Noctali,Nachtara,Umbreon,Umbreon,"Umbreon, umbreon",,ブラッキー,月亮伊布,
murkrow,ヤミカラス,Yamikarasu,니로우,黑暗鴉,Cornèbre,Kramurx,Murkrow,Murkrow,"Murkrow, murkrow",,ヤミカラス,黑暗鸦,
slowking,ヤドキング,Yadoking,야도킹,呆呆王,Roigada,Laschoking,Slowking,Slowking,"Slowking, slowking, slowking-galar",,ヤドキング,呆呆王,
misdreavus,ムウマ,Muma,무우마,夢妖,Feuforêve,Traunfugil,Misdreavus,Misdreavus,"Misdreavus, misdreavus",,ムウマ,梦妖,
unown,アンノーン,Unknown,안농,未知圖騰,Zarbi,Icognito,Unown,Unown,"Unown, unown",,アンノーン,未知图腾,
wobbuffet,ソーナンス,Sonans,마자용,果然翁,Qulbutoké,Woingenau,Wobbuffet,Wobbuffet,"Wobbuffet, wobbuffet",,ソーナンス,果然翁,
girafarig,キリンリキ,Kirinriki,키링키,麒麟奇,Girafarig,Girafarig,Girafarig,Girafarig,"Girafarig, girafarig",,キリンリキ,麒麟奇,
pineco,クヌギダマ,Kunugidama,피콘,榛果球,Pomdepik,Tannza,Pineco,Pineco,"Pineco, pineco",,クヌギダマ,榛果球,
forretress,フォレトス,Foretos,쏘콘,佛烈托斯,Foretress,Forstellka,Forretress,Forretress,"Forretress, forretress",,フォレトス,佛烈托斯,
dunsparce,ノコッチ,Nokocchi,노고치,土龍弟弟,Insolourdo,Dummisel,Dunsparce,Dunsparce,"Dunsparce, dunsparce",,ノコッチ,土龙弟弟,
gligar,グライガー,Gliger,글라이거,天蠍,Scorplane,Skorgla,Gligar,Gligar,"Gligar, gligar",,グライガー,天蝎,
steelix,ハガネール,Haganeil,강철톤,大鋼蛇,Steelix,Stahlos,Steelix,Steelix,"Steelix, steelix, steelix-mega",,ハガネール,大钢蛇,
snubbull,ブルー,Bulu,블루,布魯,Snubbull,Snubbull,Snubbull,Snubbull,"Snubbull, snubbull",,ブルー,布鲁,
granbull,グランブル,Granbulu,그랑블루,布魯皇,Granbull,Granbull,Granbull,Granbull,"Granbull, granbull",,グランブル,布鲁皇,
qwilfish,ハリーセン,Harysen,침바루,千針魚,Qwilfish,Baldorfish,Qwilfish,Qwilfish,"Qwilfish, qwilfish, qwilfish-hisui",,ハリーセン,千针鱼,
scizor,ハッサム,Hassam,핫삼,巨鉗螳螂,Cizayox,Scherox,Scizor,Scizor,"Scizor, scizor, scizor-mega",,ハッサム,巨钳螳螂,
shuckle,ツボツボ,Tsubotsubo,단단지,壺壺,Caratroc,Pottrott,Shuckle,Shuckle,"Shuckle, shuckle",,ツボツボ,壶壶,
heracross,ヘラクロス,Heracros,헤라크로스,赫拉克羅斯,Scarhino,Skaraborn,Heracross,Heracross,"Heracross, heracross, heracross-mega",,ヘラクロス,赫拉克罗斯,
sneasel,ニューラ,Nyula,포푸니,狃拉,Farfuret,Sniebel,Sneasel,Sneasel,"Sneasel, sneasel, sneasel-hisui",,ニューラ,狃拉,
teddiursa,ヒメグマ,Himeguma,깜지곰,熊寶寶,Teddiursa,Teddiursa,Teddiursa,Teddiursa,"Teddiursa, teddiursa",,ヒメグマ,熊宝宝,
ursaring,リングマ,Ringuma,링곰,圈圈熊,Ursaring,Ursaring,Ursaring,Ursaring,"Ursaring, ursaring",,リングマ,圈圈熊,
slugma,マグマッグ,Magmag,마그마그,熔岩蟲,Limagma,Schneckmag,Slugma,Slugma,"Slugma, slugma",,マグマッグ,熔岩虫,
magcargo,マグカルゴ,Magcargot,마그카르고,熔岩蝸牛,Volcaropod,Magcargo,Magcargo,Magcargo,"Magcargo, magcargo",,マグカルゴ,熔岩蜗牛,
swinub,ウリムー,Urimoo,꾸꾸리,小山豬,Marcacrin,Quiekel,Swinub,Swinub,"Swinub, swinub",,ウリムー,小山猪,
piloswine,イノムー,Inomoo,메꾸리,長毛豬,Cochignon,Keifel,Piloswine,Piloswine,"Piloswine, piloswine",,イノムー,长毛猪,
corsola,サニーゴ,Sunnygo,코산호,太陽珊瑚,Corayon,Corasonn,Corsola,Corsola,"Corsola, corsola, corsola-galar",,サニーゴ,太阳珊瑚,
remoraid,テッポウオ,Teppouo,총어,鐵炮魚,Rémoraid,Remoraid,Remoraid,Remoraid,"Remoraid, remoraid",,テッポウオ,铁炮鱼,
octillery,オクタン,Okutank,대포무노,章魚桶,Octillery,Octillery,Octillery,Octillery,"Octillery, octillery",,オクタン,章鱼桶,
delibird,デリバード,Delibird,딜리버드,信使鳥,Cadoizo,Botogel,Delibird,Delibird,"Delibird, delibird",,デリバード,信使鸟,
mantine,マンタイン,Mantain,만타인,巨翅飛魚,Démanta,Mantax,Mantine,Mantine,"Mantine, mantine",,マンタイン,巨翅飞鱼,
skarmory,エアームド,Airmd,무장조,盔甲鳥,Airmure,Panzaeron,Skarmory,Skarmory,"Skarmory, skarmory",,エアームド,盔甲鸟,
houndour,デルビル,Delvil,델빌,戴魯比,Malosse,Hunduster,Houndour,Houndour,"Houndour, houndour",,デルビル,戴鲁比,
houndoom,ヘルガー,Hellgar,헬가,黑魯加,Démolosse,Hundemon,Houndoom,Houndoom,"Houndoom, houndoom, houndoom-mega",,ヘルガー,黑鲁加,
kingdra,キングドラ,Kingdra,킹드라,刺龍王,Hyporoi,Seedraking,Kingdra,Kingdra,"Kingdra, kingdra",,キングドラ,刺龙王,
phanpy,ゴマゾウ,Gomazou,코코리,小小象,Phanpy,Phanpy,Phanpy,Phanpy,"Phanpy, phanpy",,ゴマゾウ,小小象,
donphan,ドンファン,Donfan,코리갑,頓甲,Donphan,Donphan,Donphan,Donphan,"Donphan, donphan",,ドンファン,顿甲,
porygon2,ポリゴン２,Porygon2,폴리곤2,多邊獸Ⅱ,Porygon2,Porygon2,Porygon2,Porygon2,"Porygon2, porygon2",,ポリゴン２,多边兽２型,
stantler,オドシシ,Odoshishi,노라키,驚角鹿,Cerfrousse,Damhirplex,Stantler,Stantler,"Stantler, stantler",,オドシシ,惊角鹿,
smeargle,ドーブル,Doble,루브도,圖圖犬,Queulorior,Farbeagle,Smeargle,Smeargle,"Smeargle, smeargle",,ドーブル,图图犬,
tyrogue,バルキー,Balkie,배루키,無畏小子,Debugant,Rabauz,Tyrogue,Tyrogue,"Tyrogue, tyrogue",,バルキー,无畏小子,
hitmontop,カポエラー,Kapoerer,카포에라,戰舞郎,Kapoera,Kapoera,Hitmontop,Hitmontop,"Hitmontop, hitmontop",,カポエラー,战舞郎,
smoochum,ムチュール,Muchul,뽀뽀라,迷唇娃,Lippouti,Kussilla,Smoochum,Smoochum,"Smoochum, smoochum",,ムチュール,迷唇娃,
elekid,エレキッド,Elekid,에레키드,電擊怪,Élekid,Elekid,Elekid,Elekid,"Elekid, elekid",,エレキッド,电击怪,
magby,ブビィ,Buby,마그비,鴨嘴寶寶,Magby,Magby,Magby,Magby,"Magby, magby",,ブビィ,鸭嘴宝宝,
miltank,ミルタンク,Miltank,밀탱크,大奶罐,Écrémeuh,Miltank,Miltank,Miltank,"Miltank, miltank",,ミルタンク,大奶罐,
blissey,ハピナス,Happinas,해피너스,幸福蛋,Leuphorie,Heiteira,Blissey,Blissey,"Blissey, blissey",,ハピナス,幸福蛋,
raikou,ライコウ,Raikou,라이코,雷公,Raikou,Raikou,Raikou,Raikou,"Raikou, raikou",,ライコウ,雷公,
entei,エンテイ,Entei,앤테이,炎帝,Entei,Entei,Entei,Entei,"Entei, entei",,エンテイ,炎帝,
suicune,スイクン,Suikun,스이쿤,水君,Suicune,Suicune,Suicune,Suicune,"Suicune, suicune",,スイクン,水君,
larvitar,ヨーギラス,Yogiras,애버라스,幼基拉斯,Embrylex,Larvitar,Larvitar,Larvitar,"Larvitar, larvitar",,ヨーギラス,幼基拉斯,
pupitar,サナギラス,Sanagiras,데기라스,沙基拉斯,Ymphect,Pupitar,Pupitar,Pupitar,"Pupitar, pupitar",,サナギラス,沙基拉斯,
tyranitar,バンギラス,Bangiras,마기라스,班基拉斯,Tyranocif,Despotar,Tyranitar,Tyranitar,"Tyranitar, tyranitar, tyranitar-mega",,バンギラス,班基拉斯,
lugia,ルギア,Lugia,루기아,洛奇亞,Lugia,Lugia,Lugia,Lugia,"Lugia, lugia",,ルギア,洛奇亚,
ho-oh,ホウオウ,Houou,칠색조,鳳王,Ho-Oh,Ho-Oh,Ho-Oh,Ho-Oh,"Ho-Oh, ho-oh",,ホウオウ,凤王,
celebi,セレビィ,Celebi,세레비,時拉比,Celebi,Celebi,Celebi,Celebi,"Celebi, celebi",,セレビィ,时拉比,
treecko,キモリ,Kimori,나무지기,木守宮,Arcko,Geckarbor,Treecko,Treecko,"Treecko, treecko",,キモリ,木守宫,
grovyle,ジュプトル,Juptile,나무돌이,森林蜥蜴,Massko,Reptain,Grovyle,Grovyle,"Grovyle, grovyle",,ジュプトル,森林蜥蜴,
sceptile,ジュカイン,Jukain,나무킹,蜥蜴王,Jungko,Gewaldro,Sceptile,Sceptile,"Sceptile, sceptile, sceptile-mega",,ジュカイン,蜥蜴王,
torchic,アチャモ,Achamo,아차모,火稚雞,Poussifeu,Flemmli,Torchic,Torchic,"Torchic, torchic",,アチャモ,火稚鸡,
combusken,ワカシャモ,Wakasyamo,영치코,力壯雞,Galifeu,Jungglut,Combusken,Combusken,"Combusken, combusken",,ワカシャモ,力壮鸡,
blaziken,バシャーモ,Bursyamo,번치코,火焰雞,Braségali,Lohgock,Blaziken,Blaziken,"Blaziken, blaziken, blaziken-mega",,バシャーモ,火焰鸡,
mudkip,ミズゴロウ,Mizugorou,물짱이,水躍魚,Gobou,Hydropi,Mudkip,Mudkip,"Mudkip, mudkip",,ミズゴロウ,水跃鱼,
marshtomp,ヌマクロー,Numacraw,늪짱이,沼躍魚,Flobio,Moorabbel,Marshtomp,Marshtomp,"Marshtomp, marshtomp",,ヌマクロー,沼跃鱼,
swampert,ラグラージ,Laglarge,대짱이,巨沼怪,Laggron,Sumpex,Swampert,Swampert,"Swampert, swampert, swampert-mega",,ラグラージ,巨沼怪,
poochyena,ポチエナ,Pochiena,포챠나,土狼犬,Medhyèna,Fiffyen,Poochyena,Poochyena,"Poochyena, poochyena",,ポチエナ,土狼犬,
mightyena,グラエナ,Guraena,그라에나,大狼犬,Grahyèna,Magnayen,Mightyena,Mightyena,"Mightyena, mightyena",,グラエナ,大狼犬,
zigzagoon,ジグザグマ,Ziguzaguma,지그제구리,蛇紋熊,Zigzaton,Zigzachs,Zigzagoon,Zigzagoon,"Zigzagoon, zigzagoon, zigzagoon-galar",,ジグザグマ,蛇纹熊,
linoone,マッスグマ,Massuguma,직구리,直衝熊,Linéon,Geradaks,Linoone,Linoone,"Linoone, linoone, linoone-galar",,マッスグマ,直冲熊,
wurmple,ケムッソ,Kemusso,개무소,刺尾蟲,Chenipotte,Waumpel,Wurmple,Wurmple,"Wurmple, wurmple",,ケムッソ,刺尾虫,
silcoon,カラサリス,Karasalis,실쿤,甲殼繭,Armulys,Schaloko,Silcoon,Silcoon,"Silcoon, silcoon",,カラサリス,甲壳茧,
beautifly,アゲハント,Agehunt,뷰티플라이,狩獵鳳蝶,Charmillon,Papinella,Beautifly,Beautifly,"Beautifly, beautifly",,アゲハント,狩猎凤蝶,
cascoon,マユルド,Mayuld,카스쿤,盾甲繭,Blindalys,Panekon,Cascoon,Cascoon,"Cascoon, cascoon",,マユルド,盾甲茧,
dustox,ドクケイル,Dokucale,독케일,毒粉蛾,Papinox,Pudox,Dustox,Dustox,"Dustox, dustox",,ドクケイル,毒粉蛾,
lotad,ハスボー,Hassboh,연꽃몬,蓮葉童子,Nénupiot,Loturzel,Lotad,Lotad,"Lotad, lotad",,ハスボー,莲叶童子,
lombre,ハスブレロ,Hasubrero,로토스,蓮帽小童,Lombre,Lombrero,Lombre,Lombre,"Lombre, lombre",,ハスブレロ,莲帽小童,
ludicolo,ルンパッパ,Runpappa,로파파,樂天河童,Ludicolo,Kappalores,Ludicolo,Ludicolo,"Ludicolo, ludicolo",,ルンパッパ,乐天河童,
seedot,タネボー,Taneboh,도토링,橡實果,Grainipiot,Samurzel,Seedot,Seedot,"Seedot, seedot",,タネボー,橡实果,
nuzleaf,コノハナ,Konohana,잎새코,長鼻葉,Pifeuil,Blanas,Nuzleaf,Nuzleaf,"Nuzleaf, nuzleaf",,コノハナ,长鼻叶,
shiftry,ダーテング,Dirteng,다탱구,狡猾天狗,Tengalice,Tengulist,Shiftry,Shiftry,"Shiftry, shiftry",,ダーテング,狡猾天狗,
taillow,スバメ,Subame,테일로,傲骨燕,Nirondelle,Schwalbini,Taillow,Taillow,"Taillow, taillow",,スバメ,傲骨燕,
swellow,オオスバメ,Ohsubame,스왈로,大王燕,Hélédelle,Schwalboss,Swellow,Swellow,"Swellow, swellow",,オオスバメ,大王燕,
wingull,キャモメ,Camome,갈모매,長翅鷗,Goélise,Wingull,Wingull,Wingull,"Wingull, wingull",,キャモメ,长翅鸥,
pelipper,ペリッパー,Pelipper,패리퍼,大嘴鷗,Bekipan,Pelipper,Pelipper,Pelipper,"Pelipper, pelipper",,ペリッパー,大嘴鸥,
ralts,ラルトス,Ralts,랄토스,拉魯拉絲,Tarsal,Trasla,Ralts,Ralts,"Ralts, ralts",,ラルトス,拉鲁拉丝,
kirlia,キルリア,Kirlia,킬리아,奇魯莉安,Kirlia,Kirlia,Kirlia,Kirlia,"Kirlia, kirlia",,キルリア,奇鲁莉安,
gardevoir,サーナイト,Sirnight,가디안,沙奈朵,Gardevoir,Guardevoir,Gardevoir,Gardevoir,"Gardevoir, gardevoir, gardevoir-mega",,サーナイト,沙奈朵,
surskit,アメタマ,Ametama,비구술,溜溜糖球,Arakdo,Gehweiher,Surskit,Surskit,"Surskit, surskit",,アメタマ,溜溜糖球,
masquerain,アメモース,Amemoth,비나방,雨翅蛾,Maskadra,Maskeregen,Masquerain,Masquerain,"Masquerain, masquerain",,アメモース,雨翅蛾,
shroomish,キノココ,Kinococo,버섯꼬,蘑蘑菇,Balignon,Knilz,Shroomish,Shroomish,"Shroomish, shroomish",,キノココ,蘑蘑菇,
breloom,キノガッサ,Kinogassa,버섯모,斗笠菇,Chapignon,Kapilz,Breloom,Breloom,"Breloom, breloom",,キノガッサ,斗笠菇,
slakoth,ナマケロ,Namakero,게을로,懶人獺,Parecool,Bummelz,Slakoth,Slakoth,"Slakoth, slakoth",,ナマケロ,懒人獭,
vigoroth,ヤルキモノ,Yarukimono,발바로,過動猿,Vigoroth,Muntier,Vigoroth,Vigoroth,"Vigoroth, vigoroth",,ヤルキモノ,过动猿,
slaking,ケッキング,Kekking,게을킹,請假王,Monaflèmit,Letarking,Slaking,Slaking,"Slaking, slaking",,ケッキング,请假王,
nincada,ツチニン,Tutinin,토중몬,土居忍士,Ningale,Nincada,Nincada,Nincada,"Nincada, nincada",,ツチニン,土居忍士,
ninjask,テッカニン,Tekkanin,아이스크,鐵面忍者,Ninjask,Ninjask,Ninjask,Ninjask,"Ninjask, ninjask",,テッカニン,铁面忍者,
shedinja,ヌケニン,Nukenin,껍질몬,脫殼忍者,Munja,Ninjatom,Shedinja,Shedinja,"Shedinja, shedinja",,ヌケニン,脱壳忍者,
whismur,ゴニョニョ,Gonyonyo,소곤룡,咕妞妞,Chuchmur,Flurmel,Whismur,Whismur,"Whismur, whismur",,ゴニョニョ,咕妞妞,
loudred,ドゴーム,Dogohmb,노공룡,吼爆彈,Ramboum,Krakeelo,Loudred,Loudred,"Loudred, loudred",,ドゴーム,吼爆弹,
exploud,バクオング,Bakuong,폭음룡,爆音怪,Brouhabam,Krawumms,Exploud,Exploud,"Exploud, exploud",,バクオング,爆音怪,
makuhita,マクノシタ,Makunoshita,마크탕,幕下力士,Makuhita,Makuhita,Makuhita,Makuhita,"Makuhita, makuhita",,マクノシタ,幕下力士,
hariyama,ハリテヤマ,Hariteyama,하리뭉,鐵掌力士,Hariyama,Hariyama,Hariyama,Hariyama,"Hariyama, hariyama",,ハリテヤマ,铁掌力士,
azurill,ルリリ,Ruriri,루리리,露力麗,Azurill,Azurill,Azurill,Azurill,"Azurill, azurill",,ルリリ,露力丽,
nosepass,ノズパス,Nosepass,코코파스,朝北鼻,Tarinor,Nasgnet,Nosepass,Nosepass,"Nosepass, nosepass",,ノズパス,朝北鼻,
skitty,エネコ,Eneco,에나비,向尾喵,Skitty,Eneco,Skitty,Skitty,"Skitty, skitty",,エネコ,向尾喵,
delcatty,エネコロロ,Enekororo,델케티,優雅貓,Delcatty,Enekoro,Delcatty,Delcatty,"Delcatty, delcatty",,エネコロロ,优雅猫,
sableye,ヤミラミ,Yamirami,깜까미,勾魂眼,Ténéfix,Zobiris,Sableye,Sableye,"Sableye, sableye, sableye-mega",,ヤミラミ,勾魂眼,
mawile,クチート,Kucheat,입치트,大嘴娃,Mysdibule,Flunkifer,Mawile,Mawile,"Mawile, mawile, mawile-mega",,クチート,大嘴娃,
aron,ココドラ,Cokodora,가보리,可可多拉,Galekid,Stollunior,Aron,Aron,"Aron, aron",,ココドラ,可可多拉,
lairon,コドラ,Kodora,갱도라,可多拉,Galegon,Stollrak,Lairon,Lairon,"Lairon, lairon",,コドラ,可多拉,
aggron,ボスゴドラ,Bossgodora,보스로라,波士可多拉,Galeking,Stolloss,Aggron,Aggron,"Aggron, aggron, aggron-mega",,ボスゴドラ,波士可多拉,
meditite,アサナン,Asanan,요가랑,瑪沙那,Méditikka,Meditie,Meditite,Meditite,"Meditite, meditite",,アサナン,玛沙那,
medicham,チャーレム,Charem,요가램,恰雷姆,Charmina,Meditalis,Medicham,Medicham,"Medicham, medicham, medicham-mega",,チャーレム,恰雷姆,
electrike,ラクライ,Rakurai,썬더라이,落雷獸,Dynavolt,Frizelbliz,Electrike,Electrike,"Electrike, electrike",,ラクライ,落雷兽,
manectric,ライボルト,Livolt,썬더볼트,雷電獸,Élecsprint,Voltenso,Manectric,Manectric,"Manectric, manectric, manectric-mega",,ライボルト,雷电兽,
plusle,プラスル,Prasle,플러시,正電拍拍,Posipi,Plusle,Plusle,Plusle,"Plusle, plusle",,プラスル,正电拍拍,
minun,マイナン,Minun,마이농,負電拍拍,Négapi,Minun,Minun,Minun,"Minun, minun",,マイナン,負电拍拍,
volbeat,バルビート,Barubeat,볼비트,電螢蟲,Muciole,Volbeat,Volbeat,Volbeat,"Volbeat, volbeat",,バルビート,电萤虫,
illumise,イルミーゼ,Illumise,네오비트,甜甜螢,Lumivole,Illumise,Illumise,Illumise,"Illumise, illumise",,イルミーゼ,甜甜萤,
roselia,ロゼリア,Roselia,로젤리아,毒薔薇,Rosélia,Roselia,Roselia,Roselia,"Roselia, roselia",,ロゼリア,毒蔷薇,
gulpin,ゴクリン,Gokulin,꼴깍몬,溶食獸,Gloupti,Schluppuck,Gulpin,Gulpin,"Gulpin, gulpin",,ゴクリン,溶食兽,
swalot,マルノーム,Marunoom,꿀꺽몬,吞食獸,Avaltout,Schlukwech,Swalot,Swalot,"Swalot, swalot",,マルノーム,吞食兽,
carvanha,キバニア,Kibanha,샤프니아,利牙魚,Carvanha,Kanivanha,Carvanha,Carvanha,"Carvanha, carvanha",,キバニア,利牙鱼,
sharpedo,サメハダー,Samehader,샤크니아,巨牙鯊,Sharpedo,Tohaido,Sharpedo,Sharpedo,"Sharpedo, sharpedo, sharpedo-mega",,サメハダー,巨牙鲨,
wailmer,ホエルコ,Whalko,고래왕자,吼吼鯨,Wailmer,Wailmer,Wailmer,Wailmer,"Wailmer, wailmer",,ホエルコ,吼吼鲸,
wailord,ホエルオー,Whaloh,고래왕,吼鯨王,Wailord,Wailord,Wailord,Wailord,"Wailord, wailord",,ホエルオー,吼鲸王,
numel,ドンメル,Donmel,둔타,呆火駝,Chamallot,Camaub,Numel,Numel,"Numel, numel",,ドンメル,呆火驼,
camerupt,バクーダ,Bakuuda,폭타,噴火駝,Camérupt,Camerupt,Camerupt,Camerupt,"Camerupt, camerupt, camerupt-mega",,バクーダ,喷火驼,
torkoal,コータス,Cotoise,코터스,煤炭龜,Chartor,Qurtel,Torkoal,Torkoal,"Torkoal, torkoal",,コータス,煤炭龟,
spoink,バネブー,Baneboo,피그점프,跳跳豬,Spoink,Spoink,Spoink,Spoink,"Spoink, spoink",,バネブー,跳跳猪,
grumpig,ブーピッグ,Boopig,피그킹,噗噗豬,Groret,Groink,Grumpig,Grumpig,"Grumpig, grumpig",,ブーピッグ,噗噗猪,
spinda,パッチール,Patcheel,얼루기,晃晃斑,Spinda,Pandir,Spinda,Spinda,"Spinda, spinda",,パッチール,晃晃斑,
trapinch,ナックラー,Nuckrar,톱치,大顎蟻,Kraknoix,Knacklion,Trapinch,Trapinch,"Trapinch, trapinch",,ナックラー,大颚蚁,
vibrava,ビブラーバ,Vibrava,비브라바,超音波幼蟲,Vibraninf,Vibrava,Vibrava,Vibrava,"Vibrava, vibrava",,ビブラーバ,超音波幼虫,
flygon,フライゴン,Frygon,플라이곤,沙漠蜻蜓,Libégon,Libelldra,Flygon,Flygon,"Flygon, flygon",,フライゴン,沙漠蜻蜓,
cacnea,サボネア,Sabonea,선인왕,刺球仙人掌,Cacnea,Tuska,Cacnea,Cacnea,"Cacnea, cacnea",,サボネア,刺球仙人掌,
cacturne,ノクタス,Noctus,밤선인,夢歌仙人掌,Cacturne,Noktuska,Cacturne,Cacturne,"Cacturne, cacturne",,ノクタス,梦歌仙人掌,
swablu,チルット,Tyltto,파비코,青綿鳥,Tylton,Wablu,Swablu,Swablu,"Swablu, swablu",,チルット,青绵鸟,
altaria,チルタリス,Tyltalis,파비코리,七夕青鳥,Altaria,Altaria,Altaria,Altaria,"Altaria, altaria, altaria-mega",,チルタリス,七夕青鸟,
zangoose,ザングース,Zangoose,쟝고,貓鼬斬,Mangriff,Sengo,Zangoose,Zangoose,"Zangoose, zangoose",,ザングース,猫鼬斩,
seviper,ハブネーク,Habunake,세비퍼,飯匙蛇,Séviper,Vipitis,Seviper,Seviper,"Seviper, seviper",,ハブネーク,饭匙蛇,
lunatone,ルナトーン,Lunatone,루나톤,月石,Séléroc,Lunastein,Lunatone,Lunatone,"Lunatone, lunatone",,ルナトーン,月石,
solrock,ソルロック,Solrock,솔록,太陽岩,Solaroc,Sonnfel,Solrock,Solrock,"Solrock, solrock",,ソルロック,太阳岩,
barboach,ドジョッチ,Dojoach,미꾸리,泥泥鰍,Barloche,Schmerbe,Barboach,Barboach,"Barboach, barboach",,ドジョッチ,泥泥鳅,
whiscash,ナマズン,Namazun,메깅,鯰魚王,Barbicha,Welsar,Whiscash,Whiscash,"Whiscash, whiscash",,ナマズン,鲶鱼王,
corphish,ヘイガニ,Heigani,가재군,龍蝦小兵,Écrapince,Krebscorps,Corphish,Corphish,"Corphish, corphish",,ヘイガニ,龙虾小兵,
crawdaunt,シザリガー,Shizariger,가재장군,鐵螯龍蝦,Colhomard,Krebutack,Crawdaunt,Crawdaunt,"Crawdaunt, crawdaunt",,シザリガー,铁螯龙虾,
baltoy,ヤジロン,Yajilon,오뚝군,天秤偶,Balbuto,Puppance,Baltoy,Baltoy,"Baltoy, baltoy",,ヤジロン,天秤偶,
claydol,ネンドール,Nendoll,점토도리,念力土偶,Kaorine,Lepumentas,Claydol,Claydol,"Claydol, claydol",,ネンドール,念力土偶,
lileep,リリーラ,Lilyla,릴링,觸手百合,Lilia,Liliep,Lileep,Lileep,"Lileep, lileep",,リリーラ,触手百合,
cradily,ユレイドル,Yuradle,릴리요,搖籃百合,Vacilys,Wielie,Cradily,Cradily,"Cradily, cradily",,ユレイドル,摇篮百合,
anorith,アノプス,Anopth,아노딥스,太古羽蟲,Anorith,Anorith,Anorith,Anorith,"Anorith, anorith",,アノプス,太古羽虫,
