pokemon_species,🇬🇧 (en),🇫🇷 (fr),🇪🇸 (es),🇩🇪 (de),🇮🇹 (it),🇯🇵 (ja),🇰🇷 (ko),🇨🇳 (zh-Hans),🇷🇺 (ru),🇲🇽 (es-MX),🇵🇹 (pt),🇳🇱 (nl),🇹🇷 (tr),🇸🇦 (ar),🇹🇭 (th),🇻🇳 (vi),🇵🇱 (pl),🇸🇪 (sv),🇩🇰 (da),🇳🇴 (no),🇫🇮 (fi),🇬🇷 (el),🇮🇩 (id),🇲🇾 (ms),🇵🇭 (fil),🇭🇺 (hu),🇨🇿 (cs),🇸🇰 (sk),🇷🇴 (ro),🇺🇦 (uk),🇭🇷 (hr),🇧🇬 (bg),🇪🇪 (et),🇱🇻 (lv),🇱🇹 (lt),🇸🇮 (sl),🇲🇹 (mt),🇦🇱 (sq),🇲🇰 (mk),🇧🇦 (bs),🇷🇸 (sr),🇨🇾 (cy),🇮🇪 (ga),🏴 (gd),🇰🇾 (kw),🇧🇷 (br),🇿🇦 (af),🇿🇦 (xh),🇿🇦 (zu),🇿🇦 (tn),🇿🇦 (st),🇿🇦 (ss),🇿🇦 (nr),🇿🇦 (nso),🇿🇦 (ts),🇿🇦 (ve),🇺🇬 (xog),🇺🇬 (lg),🇬🇭 (ak),🇬🇭 (tw),🇧🇫 (bm),🇲🇲 (my),🇰🇭 (km),🇱🇦 (lo),🇪🇹 (am),🇪🇹 (ti),🇪🇹 (om),🇸🇴 (so),🇰🇪 (sw),🇷🇼 (rw),🇳🇬 (yo),🇳🇬 (ig),🇳🇬 (ha),🇧🇩 (bn),🇮🇳 (pa),🇮🇳 (gu),🇮🇳 (or),🇮🇳 (ta),🇮🇳 (te),🇮🇳 (kn),🇮🇳 (ml),🇱🇰 (si),🇳🇵 (ne),🇧🇹 (dz),🇧🇾 (be),🇰🇿 (kk),🇺🇿 (uz),🇰🇬 (ky)
larvitar,"Larvitar, larvitar",Embrylex,Larvitar,Larvitar,Larvitar,ヨーギラス,애버라스,幼基拉斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pupitar,"Pupitar, pupitar",Ymphect,Pupitar,Pupitar,Pupitar,サナギラス,데기라스,沙基拉斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyranitar,"Tyranitar, tyranitar, tyranitar-mega",Tyranocif,Tyranitar,Despotar,Tyranitar,バンギラス,마기라스,班基拉斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lugia,"Lugia, lugia",Lugia,Lugia,Lugia,Lugia,ルギア,루기아,洛奇亚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ho-oh,"Ho-Oh, ho-oh",Ho-Oh,Ho-Oh,Ho-Oh,Ho-Oh,ホウオウ,칠색조,凤王,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
celebi,"Celebi, celebi",Celebi,Celebi,Celebi,Celebi,セレビィ,세레비,时拉比,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treecko,"Treecko, treecko",Arcko,Treecko,Geckarbor,Treecko,キモリ,나무지기,木守宫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grovyle,"Grovyle, grovyle",Massko,Grovyle,Reptain,Grovyle,ジュプトル,나무돌이,森林蜥蜴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sceptile,"Sceptile, sceptile, sceptile-mega",Jungko,Sceptile,Gewaldro,Sceptile,ジュカイン,나무킹,蜥蜴王,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
torchic,"Torchic, torchic",Poussifeu,Torchic,Flemmli,Torchic,アチャモ,아차모,火稚鸡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combusken,"Combusken, combusken",Galifeu,Combusken,Jungglut,Combusken,ワカシャモ,영치코,力壮鸡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blaziken,"Blaziken, blaziken, blaziken-mega",Braségali,Blaziken,Lohgock,Blaziken,バシャーモ,번치코,火焰鸡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mudkip,"Mudkip, mudkip",Gobou,Mudkip,Hydropi,Mudkip,ミズゴロウ,물짱이,水跃鱼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marshtomp,"Marshtomp, marshtomp",Flobio,Marshtomp,Moorabbel,Marshtomp,ヌマクロー,늪짱이,沼跃鱼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swampert,"Swampert, swampert, swampert-mega",Laggron,Swampert,Sumpex,Swampert,ラグラージ,대짱이,巨沼怪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poochyena,"Poochyena, poochyena",Medhyèna,Poochyena,Fiffyen,Poochyena,ポチエナ,포챠나,土狼犬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mightyena,"Mightyena, mightyena",Grahyèna,Mightyena,Magnayen,Mightyena,グラエナ,그라에나,大狼犬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zigzagoon,"Zigzagoon, zigzagoon, zigzagoon-galar",Zigzaton,Zigzagoon,Zigzachs,Zigzagoon,ジグザグマ,지그제구리,蛇纹熊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linoone,"Linoone, linoone, linoone-galar",Linéon,Linoone,Geradaks,Linoone,マッスグマ,직구리,直冲熊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wurmple,"Wurmple, wurmple",Chenipotte,Wurmple,Waumpel,Wurmple,ケムッソ,개무소,刺尾虫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silcoon,"Silcoon, silcoon",Armulys,Silcoon,Schaloko,Silcoon,カラサリス,실쿤,甲壳茧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beautifly,"Beautifly, beautifly",Charmillon,Beautifly,Papinella,Beautifly,アゲハント,뷰티플라이,狩猎凤蝶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cascoon,"Cascoon, cascoon",Blindalys,Cascoon,Panekon,Cascoon,マユルド,카스쿤,盾甲茧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dustox,"Dustox, dustox",Papinox,Dustox,Pudox,Dustox,ドクケイル,독케일,毒粉蛾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lotad,"Lotad, lotad",Nénupiot,Lotad,Loturzel,Lotad,ハスボー,연꽃몬,莲叶童子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lombre,"Lombre, lombre",Lombre,Lombre,Lombrero,Lombre,ハスブレロ,로토스,莲帽小童,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ludicolo,"Ludicolo, ludicolo",Ludicolo,Ludicolo,Kappalores,Ludicolo,ルンパッパ,로파파,乐天河童,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seedot,"Seedot, seedot",Grainipiot,Seedot,Samurzel,Seedot,タネボー,도토링,橡实果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nuzleaf,"Nuzleaf, nuzleaf",Pifeuil,Nuzleaf,Blanas,Nuzleaf,コノハナ,잎새코,长鼻叶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shiftry,"Shiftry, shiftry",Tengalice,Shiftry,Tengulist,Shiftry,ダーテング,다탱구,狡猾天狗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taillow,"Taillow, taillow",Nirondelle,Taillow,Schwalbini,Taillow,スバメ,테일로,傲骨燕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swellow,"Swellow, swellow",Hélédelle,Swellow,Schwalboss,Swellow,オオスバメ,스왈로,大王燕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wingull,"Wingull, wingull",Goélise,Wingull,Wingull,Wingull,キャモメ,갈모매,长翅鸥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pelipper,"Pelipper, pelipper",Bekipan,Pelipper,Pelipper,Pelipper,ペリッパー,패리퍼,大嘴鸥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ralts,"Ralts, ralts",Tarsal,Ralts,Trasla,Ralts,ラルトス,랄토스,拉鲁拉丝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kirlia,"Kirlia, kirlia",Kirlia,Kirlia,Kirlia,Kirlia,キルリア,킬리아,奇鲁莉安,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gardevoir,"Gardevoir, gardevoir, gardevoir-mega",Gardevoir,Gardevoir,Guardevoir,Gardevoir,サーナイト,가디안,沙奈朵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
surskit,"Surskit, surskit",Arakdo,Surskit,Gehweiher,Surskit,アメタマ,비구술,溜溜糖球,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
masquerain,"Masquerain, masquerain",Maskadra,Masquerain,Maskeregen,Masquerain,アメモース,비나방,雨翅蛾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shroomish,"Shroomish, shroomish",Balignon,Shroomish,Knilz,Shroomish,キノココ,버섯꼬,蘑蘑菇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
breloom,"Breloom, breloom",Chapignon,Breloom,Kapilz,Breloom,キノガッサ,버섯모,斗笠菇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slakoth,"Slakoth, slakoth",Parecool,Slakoth,Bummelz,Slakoth,ナマケロ,게을로,懒人獭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vigoroth,"Vigoroth, vigoroth",Vigoroth,Vigoroth,Muntier,Vigoroth,ヤルキモノ,발바로,过动猿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slaking,"Slaking, slaking",Monaflèmit,Slaking,Letarking,Slaking,ケッキング,게을킹,请假王,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nincada,"Nincada, nincada",Ningale,Nincada,Nincada,Nincada,ツチニン,토중몬,土居忍士,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ninjask,"Ninjask, ninjask",Ninjask,Ninjask,Ninjask,Ninjask,テッカニン,아이스크,铁面忍者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shedinja,"Shedinja, shedinja",Munja,Shedinja,Ninjatom,Shedinja,ヌケニン,껍질몬,脱壳忍者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whismur,"Whismur, whismur",Chuchmur,Whismur,Flurmel,Whismur,ゴニョニョ,소곤룡,咕妞妞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loudred,"Loudred, loudred",Ramboum,Loudred,Krakeelo,Loudred,ドゴーム,노공룡,吼爆弹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exploud,"Exploud, exploud",Brouhabam,Exploud,Krawumms,Exploud,バクオング,폭음룡,爆音怪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
makuhita,"Makuhita, makuhita",Makuhita,Makuhita,Makuhita,Makuhita,マクノシタ,마크탕,幕下力士,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hariyama,"Hariyama, hariyama",Hariyama,Hariyama,Hariyama,Hariyama,ハリテヤマ,하리뭉,铁掌力士,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azurill,"Azurill, azurill",Azurill,Azurill,Azurill,Azurill,ルリリ,루리리,露力丽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nosepass,"Nosepass, nosepass",Tarinor,Nosepass,Nasgnet,Nosepass,ノズパス,코코파스,朝北鼻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skitty,"Skitty, skitty",Skitty,Skitty,Eneco,Skitty,エネコ,에나비,向尾喵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
delcatty,"Delcatty, delcatty",Delcatty,Delcatty,Enekoro,Delcatty,エネコロロ,델케티,优雅猫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sableye,"Sableye, sableye, sableye-mega",Ténéfix,Sableye,Zobiris,Sableye,ヤミラミ,깜까미,勾魂眼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mawile,"Mawile, mawile, mawile-mega",Mysdibule,Mawile,Flunkifer,Mawile,クチート,입치트,大嘴娃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aron,"Aron, aron",Galekid,Aron,Stollunior,Aron,ココドラ,가보리,可可多拉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lairon,"Lairon, lairon",Galegon,Lairon,Stollrak,Lairon,コドラ,갱도라,可多拉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aggron,"Aggron, aggron, aggron-mega",Galeking,Aggron,Stolloss,Aggron,ボスゴドラ,보스로라,波士可多拉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meditite,"Meditite, meditite",Méditikka,Meditite,Meditie,Meditite,アサナン,요가랑,玛沙那,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
medicham,"Medicham, medicham, medicham-mega",Charmina,Medicham,Meditalis,Medicham,チャーレム,요가램,恰雷姆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
electrike,"Electrike, electrike",Dynavolt,Electrike,Frizelbliz,Electrike,ラクライ,썬더라이,落雷兽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manectric,"Manectric, manectric, manectric-mega",Élecsprint,Manectric,Voltenso,Manectric,ライボルト,썬더볼트,雷电兽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plusle,"Plusle, plusle",Posipi,Plusle,Plusle,Plusle,プラスル,플러시,正电拍拍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minun,"Minun, minun",Négapi,Minun,Minun,Minun,マイナン,마이농,負电拍拍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volbeat,"Volbeat, volbeat",Muciole,Volbeat,Volbeat,Volbeat,バルビート,볼비트,电萤虫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
illumise,"Illumise, illumise",Lumivole,Illumise,Illumise,Illumise,イルミーゼ,네오비트,甜甜萤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roselia,"Roselia, roselia",Rosélia,Roselia,Roselia,Roselia,ロゼリア,로젤리아,毒蔷薇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gulpin,"Gulpin, gulpin",Gloupti,Gulpin,Schluppuck,Gulpin,ゴクリン,꼴깍몬,溶食兽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swalot,"Swalot, swalot",Avaltout,Swalot,Schlukwech,Swalot,マルノーム,꿀꺽몬,吞食兽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carvanha,"Carvanha, carvanha",Carvanha,Carvanha,Kanivanha,Carvanha,キバニア,샤프니아,利牙鱼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharpedo,"Sharpedo, sharpedo, sharpedo-mega",Sharpedo,Sharpedo,Tohaido,Sharpedo,サメハダー,샤크니아,巨牙鲨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wailmer,"Wailmer, wailmer",Wailmer,Wailmer,Wailmer,Wailmer,ホエルコ,고래왕자,吼吼鲸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wailord,"Wailord, wailord",Wailord,Wailord,Wailord,Wailord,ホエルオー,고래왕,吼鲸王,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numel,"Numel, numel",Chamallot,Numel,Camaub,Numel,ドンメル,둔타,呆火驼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camerupt,"Camerupt, camerupt, camerupt-mega",Camérupt,Camerupt,Camerupt,Camerupt,バクーダ,폭타,喷火驼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
torkoal,"Torkoal, torkoal",Chartor,Torkoal,Qurtel,Torkoal,コータス,코터스,煤炭龟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spoink,"Spoink, spoink",Spoink,Spoink,Spoink,Spoink,バネブー,피그점프,跳跳猪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grumpig,"Grumpig, grumpig",Groret,Grumpig,Groink,Grumpig,ブーピッグ,피그킹,噗噗猪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spinda,"Spinda, spinda",Spinda,Spinda,Pandir,Spinda,パッチール,얼루기,晃晃斑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trapinch,"Trapinch, trapinch",Kraknoix,Trapinch,Knacklion,Trapinch,ナックラー,톱치,大颚蚁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vibrava,"Vibrava, vibrava",Vibraninf,Vibrava,Vibrava,Vibrava,ビブラーバ,비브라바,超音波幼虫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flygon,"Flygon, flygon",Libégon,Flygon,Libelldra,Flygon,フライゴン,플라이곤,沙漠蜻蜓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cacnea,"Cacnea, cacnea",Cacnea,Cacnea,Tuska,Cacnea,サボネア,선인왕,刺球仙人掌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cacturne,"Cacturne, cacturne",Cacturne,Cacturne,Noktuska,Cacturne,ノクタス,밤선인,梦歌仙人掌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swablu,"Swablu, swablu",Tylton,Swablu,Wablu,Swablu,チルット,파비코,青绵鸟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altaria,"Altaria, altaria, altaria-mega",Altaria,Altaria,Altaria,Altaria,チルタリス,파비코리,七夕青鸟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zangoose,"Zangoose, zangoose",Mangriff,Zangoose,Sengo,Zangoose,ザングース,쟝고,猫鼬斩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seviper,"Seviper, seviper",Séviper,Seviper,Vipitis,Seviper,ハブネーク,세비퍼,饭匙蛇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lunatone,"Lunatone, lunatone",Séléroc,Lunatone,Lunastein,Lunatone,ルナトーン,루나톤,月石,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solrock,"Solrock, solrock",Solaroc,Solrock,Sonnfel,Solrock,ソルロック,솔록,太阳岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barboach,"Barboach, barboach",Barloche,Barboach,Schmerbe,Barboach,ドジョッチ,미꾸리,泥泥鳅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
